model,ape_mean,name_accuracy,latency_ms_mean,cost_jpy_mean
google/gemma-4-31b-it,50.77098942607572,1.0,2597.7333333333336,0.0305804804
gpt-5.4,61.19150275634415,1.0,2266.0,1.02884572
gpt-5.4-mini,56.12529665386861,1.0,1470.4,0.30646847099999996
moonshotai/kimi-k2.6,72.80169646666087,0.8666666666666666,11469.333333333332,1.7345908265000003
